global_step,surprise,baseline,gradient_stats
193701,,,116.31206
193758,,,
193892,-39.39394,,
193905,,,
194151,,,
194471,,512.37787,
194702,,,-12.457912
194759,,,
194893,-80.456024,,
194906,,,
195152,,,
195472,,652.4752,
195703,,,173.61563
195760,,,
195894,-7.5907593,,
195907,,,
196153,,,
196473,,682.0069,
196704,,,-20.79208
196761,,,
196895,10.726644,,
196908,,,
197154,,,
197474,,103.44827,
197705,,,-34.256054
197762,,,
197896,-79.31035,,
197909,,,
198155,,,
198475,,788.8889,
198706,,,151.72414
198763,,,
198897,-66.32996,,
198910,,,
199156,,,
199476,,604.3189,
199707,,,4.3771043
199764,,,
199898,-73.42193,,
199911,,,
200157,,,
200477,,581.4815,
200708,,,-13.621263
200765,,,
200899,3.7037036,,
200912,,,
201057,,,
201158,,,
201478,,826.07007,
201709,,,55.555557
201900,16.731518,,
201913,,,
202058,,,
202159,,,
202479,,228.99023,
202710,,,67.31518
202901,-80.456024,,
202914,,,
203059,,,
203160,,,
203480,,347.91666,
203711,,,69.38111
203902,-72.22222,,
203915,,,
204060,,,
204161,,,
204481,,756.20917,
204712,,,-9.722222
204903,-15.03268,,
204916,,,
205017,,,
205162,,,
205482,,662.987,
205713,,,89.54248
205904,-64.28571,,
205917,,,
206018,,,
206163,,,
206483,,524.60565,
206714,,,7.142857
206765,,,
206905,-40.06309,,
206918,,,
207164,,,
207484,,860.85406,
207715,,,38.80126
207766,,,
207906,-7.4733095,,
207919,,,
208165,,,
208485,,327.18448,
208716,,,63.70107
208767,,,
208907,-28.80259,,
208920,,,
209166,,,
209486,,597.9866,
209717,,,191.26213
209768,,,
209908,-79.86577,,
209921,,,
210167,,,
210487,,451.6129,
210718,,,-53.020134
210769,,,
210909,61.29032,,
210922,,,
211168,,,
211488,,283.90094,
211719,,,16.129032
211770,,,
211910,-4.024768,,
211923,,,
212169,,,
212489,,685.21124,
212720,,,107.43034
212745,,,
212911,9.154929,,
212924,,,
213170,,,
213373,,,
213490,,878.022,
213721,,,-11.971831
213912,13.553114,,
213925,,,
214171,,,
214374,,,
214491,,190.42905,
214722,,,24.542124
214913,-80.19802,,
214926,,,
215172,,,
215375,,,
215492,,401.52905,
215723,,,55.115513
215914,-17.431192,,
215927,,,
216125,,,
216173,,,
216493,,536.9863,
216724,,,-29.663609
216915,-34.931507,,
216928,,,
217126,,,
217174,,,
217494,,377.98743,
217725,,,-28.082191
217916,-30.81761,,
217929,,,
218127,,,
218175,,,
218495,,626.6187,
218726,,,44.654087
218917,-78.41727,,
218930,,,
219128,,,
219176,,,
219496,,609.0301,
219727,,,-56.834534
219918,-73.24415,,
219931,,,
220129,,,
220177,,,
220489,,,
220497,,278.64078,
220728,,,67.22408
220919,-41.747574,,
220932,,,
221130,,,
221490,,,
221498,,812.33765,
221729,,,129.77347
221920,-12.337663,,
221933,,,
222101,,-8.487097,
222131,,,
222491,,,
222730,,,127.27273
222898,,,
222921,16.129032,,
222934,,,
223102,,418.0723,
223492,,,
223731,,,-77.41936
223899,,,
223922,-15.662651,,
223935,,,
224103,,598.9619,
224493,,,
224732,,,-27.710844
224900,,,
224923,-30.795847,,
224936,,,
225104,,814.8936,
225494,,,
225733,,,45.32872
225901,,,
225924,-14.893617,,
225937,,,
226105,,768.1672,
226495,,,
226734,,,56.02837
226902,,,
226925,-51.76849,,
226938,,,
227106,,483.0619,
227496,,,
227735,,,18.971062
227903,,,
227926,-67.42671,,
227939,,,
228107,,374.68353,
228497,,,
228736,,,193.1596
228904,,,
228927,-55.6962,,
228940,,,
229108,,209.14827,
229498,,,
229737,,,-43.037975
229905,,,
229928,-46.37224,,
229941,,,
230109,,325.60553,
230279,,,
230499,,,
230738,,,82.9653
230929,-55.0173,,
230942,,,
230978,,,
231110,,872.88135,
231500,,,
231739,,,21.107267
231930,55.932205,,
231943,,,
231979,,,
232111,,863.0872,
232501,,,
232740,,,-5.084746
232931,101.342285,,
232944,,,
232980,,,
233112,,795.4704,
233502,,,
233741,,,54.362415
233932,-5.923345,,
233945,,,
233981,,,
234113,,862.96295,
234503,,,
234742,,,-37.28223
234802,,,
234933,-25.925926,,
234946,,,
235114,,37.38019,
235504,,,
235704,,,
235743,,,11.111111
235934,85.30351,,
235947,,,
236115,,259.87262,
236505,,,
236705,,,
236744,,,18.210863
236935,-36.305733,,
236948,,,
237116,,562.6866,
237506,,,
237621,,,
237745,,,-10.828026
237867,-130.31343,,
237949,,,
238117,,314.33023,
238507,,,
238622,,,
238746,,,25.373135
238868,-50.15576,,
238950,,,
239118,,305.3156,
239508,,,
239623,,,
239747,,,-34.57944
239869,46.1794,,
239951,,,
240119,,823.37164,
240385,,,
240509,,,
240748,,,-16.943521
240870,-50.19157,,
240952,,,
241120,,277.48343,
241386,,,
241510,,,
241749,,,-0.38314176
241871,58.9404,,
241953,,,
242121,,251.85185,
242387,,,
242511,,,
242750,,,-20.5298
242872,-7.858991e-13,,
242954,,,
243122,,398.32776,
243388,,,
243404,,,
243751,,,-48.148148
243873,80.602005,,
243955,,,
244123,,450.0,
244389,,,
244405,,,
244752,,,-23.076923
244874,38.46154,,
244956,,,
245124,,610.5263,
245390,,,
245406,,,
245753,,,-7.6923075
245875,-24.81203,,
245957,,,
245991,,,
246125,,809.7744,
246407,,,
246754,,,125.56391
246876,-28.571428,,
246958,,,
246992,,,
247126,,863.8554,
247408,,,
247755,,,80.451126
247877,40.56225,,
247959,,,
247993,,,
248127,,430.12048,
248409,,,
248756,,,68.6747
248878,-3.6144578,,
248960,,,
248994,,,
249128,,691.8089,
249410,,,
249757,,,-54.81928
249879,-21.501707,,
249961,,,
249995,,,
250129,,505.5777,
250411,,,
250758,,,-1.0238907
250880,206.7729,,
250962,,,
250996,,,
251130,,857.3771,
251412,,,
251759,,,11.553785
251881,-70.491806,,
251963,,,
251997,,,
252131,,337.29904,
252413,,,
252760,,,-11.4754095
252790,,2.6501684,
252882,-9.967846,,
252964,,,
252998,,,
253414,,,
253761,,,12.540193
253791,,35.048233,
253883,-52.861954,,
253965,,,
253999,,,
254415,,,
254762,,,78.45118
254792,,665.06024,
254884,-26.045015,,
254966,,,
255000,,,
255416,,,
255763,,,47.90997
255793,,169.62457,
255885,-63.855423,,
255967,,,
256001,,,
256417,,,
256764,,,-51.807228
256794,,315.84158,
256886,-21.501707,,
256968,,,
257002,,,
257418,,,
257765,,,-38.56655
257795,,886.3014,
257887,61.71617,,
257969,,,
258003,,,
258419,,,
258753,-128.18082,,
258766,,,18.811882
258796,,112.025314,
258970,,,
259004,,,
259420,,,
259754,-30.379747,,
259767,,,33.561646
259797,,440.3509,
259971,,,
260005,,,
260421,,,
260755,61.403507,,
260768,,,-24.050632
260798,,529.7578,
260972,,,
261006,,,
261422,,,
261756,21.107267,,
261769,,,-15.789474
261799,,780.9524,
261973,,,
262007,,,
262423,,,
262757,-45.57823,,
262770,,,-75.77855
262800,,570.06805,
262974,,,
263008,,,
263424,,,
263756,-46.638775,,
263771,,,-31.97279
263801,,167.32674,
263975,,,
264009,,,
264425,,,
264757,-66.9967,,
264772,,,22.44898
264802,,419.29825,
264976,,,
265010,,,
265426,,,
265758,-64.91228,,
265773,,,-50.49505
265803,,280.9524,
265977,,,
266011,,,
266427,,,
266759,74.60317,,
266774,,,82.45614
266804,,240.20619,
266978,,,
267012,,,
267061,,,-52.309525
267428,,,
267760,3.0927835,,
267805,,824.59015,
267979,,,
268013,,,
268062,,,198.96907
268429,,,
268761,63.934425,,
268806,,576.4706,
268980,,,
269014,,,
269063,,,-50.81967
269430,,,
269762,-70.588234,,
269807,,82.130585,
269981,,,
270015,,,
270064,,,-50.980392
270431,,,
270763,61.512028,,
270808,,189.08554,
270982,,,
271016,,,
271065,,,27.147766
271432,,,
271764,-11.504425,,
271809,,881.75183,
271983,,,
272017,,,
272066,,,6.19469
272433,,,
272765,-27.0073,,
272810,,391.5825,
272984,,,
273018,,,
273067,,,-52.554745
273434,,,
273766,61.61616,,
273811,,353.94736,
273985,,,
274019,,,
274068,,,-2.3569024
274435,,,
274738,,907.4,
274767,-70.39474,,
274986,,,
275020,,,
275069,,,-53.94737
275436,,,
275739,,742.46576,
275768,-47.36842,,
275987,,,
276021,,,
276070,,,100.0
276437,,,
276740,,311.7647,
276769,16.438356,,
276988,,,
277022,,,
277071,,,-69.178085
277438,,,
277741,,406.80273,
277770,62.629757,,
277989,,,
278023,,,
278072,,,-65.39793
278439,,,
278742,,412.73886,
278771,-8.163265,,
278990,,,
279024,,,
279073,,,46.258503
279440,,,
279743,,880.8307,
279772,-36.305733,,
279991,,,
280025,,,
280074,,,-10.828026
280441,,,
280744,,651.497,
280773,-0.9584665,,
280992,,,
281026,,,
281075,,,-4.1533546
281442,,,
281745,,435.11707,
281774,-16.167665,,
281993,,,
282027,,,
282076,,,85.628746
282443,,,
282746,,852.0,
282775,-59.866222,,
282994,,,
283028,,,
283077,,,-6.354515
283444,,,
283747,,863.36993,
283776,20.0,,
283995,,,
284029,,,
284061,,,
284078,,,320.0
284536,,,-54.02491
284748,,414.7541,
284777,-8.424909,,
284996,,,
285030,,,
285062,,,
285119,,36.752693,
285413,-68.31803,,
285537,,,-21.311476
285997,,,
286031,,,
286063,,,
286120,,682.77155,
286414,-19.161676,,
286538,,,136.52695
286998,,,
287032,,,
287064,,,
287121,,368.1648,
287415,49.812733,,
287539,,,31.086142
287999,,,
288033,,,
288065,,,
288122,,465.06848,
288416,-17.602997,,
288540,,,139.70038
289000,,,
289034,,,
289066,,,
289123,,385.8934,
289417,-7.5342464,,
289541,,,139.72603
290001,,,
290035,,,
290067,,,
290124,,836.24164,
290418,50.47022,,
290542,,,69.279
291002,,,
291036,,,
291068,,,
291125,,784.61536,
291419,17.449665,,
291543,,,71.14094
291918,,467.24146,
292003,,,
292037,,,
292069,,,
292420,65.38461,,
292544,,,96.15385
292919,,355.88235,
293004,,,
293038,,,
293070,,,
293421,-57.317074,,
293545,,,0.6097561
293920,,368.35443,
294005,,,
294039,,,
294071,,,
294422,17.647058,,
294546,,,-4.4117646
294921,,584.0278,
295006,,,
295040,,,
295072,,,
295423,-74.68355,,
295547,,,-11.3924055
295922,,637.20135,
296007,,,
296041,,,
296073,,,
296424,7.638889,,
296548,,,-20.13889
296923,,606.0932,
297008,,,
297042,,,
297074,,,
297327,,8.075862,
297425,-31.740614,,
297549,,,39.93174
298009,,,
298043,,,
298075,,,
298328,,699.3921,
298426,175.98566,,
298550,,,115.053764
299010,,,
299044,,,
299076,,,
299329,,785.5219,
299427,96.55173,,
299551,,,75.86207
300011,,,
300045,,,
300077,,,
300330,,239.74359,
300428,-17.93313,,
300552,,,-57.446808
301012,,,
301046,,,
301078,,,
301331,,853.17725,
301429,54.882156,,
301553,,,51.515152
302013,,,
302047,,,
302079,,,
302332,,250.93167,
302430,63.46154,,
302554,,,-58.333332
303014,,,
303048,,,
303080,,,
303333,,279.43262,
303431,33.779263,,
303555,,,-13.043478
304015,,,
304049,,,
304081,,,
304334,,760.6811,
304432,-50.31056,,
304556,,,36.64596
304829,,,-66.816315
305016,,,
305050,,,
305082,,,
305335,,331.7343,
305433,-14.893617,,
305830,,,-56.656345
306017,,,
306051,,,
306083,,,
306303,-155.84024,,
306334,,-25.281395,
306831,,,91.88192
307018,,,
307052,,,
307063,,,8.782946
307084,,,
307304,-22.509226,,
307335,,585.39325,
308019,,,
308053,,,
308064,,,31.086142
308085,,,
308305,39.534885,,
308336,,468.56186,
309020,,,
309054,,,
309065,,,77.25752
309086,,,
309306,139.70038,,
309337,,665.8863,
310021,,,
310055,,,
310066,,,60.53512
310087,,,
310307,-16.38796,,
310338,,451.85184,
311022,,,
311056,,,
311067,,,-77.77778
311088,,,
311308,-9.698997,,
311339,,655.55554,
311953,,,
312023,,,
312068,,,18.518518
312089,,,
312289,,,-50.201885
312309,11.111111,,
312340,,767.9245,
312842,,,
313024,,,
313056,-96.72222,,
313090,,,
313290,,,-20.972645
313311,-49.8283,,
313341,,216.10942,
313843,,,
314025,,,
314091,,,
314291,,,-31.034483
314312,-17.93313,,
314342,,463.21838,
314844,,,
314953,,,-108.122185
315026,,,
315092,,,
315313,14.942529,,
315343,,321.22186,
315845,,,
