"global_step","1765346631-grad-compression=accumulate-grads - charts/episodic_return","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346631-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346631-grad-compression=accumulate-grads - _step","1765346631-grad-compression=accumulate-grads - _step__MIN","1765346631-grad-compression=accumulate-grads - _step__MAX","1765346490-grad-compression=accumulate-grads - charts/episodic_return","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MIN","1765346490-grad-compression=accumulate-grads - charts/episodic_return__MAX","1765346490-grad-compression=accumulate-grads - _step","1765346490-grad-compression=accumulate-grads - _step__MIN","1765346490-grad-compression=accumulate-grads - _step__MAX","1765346213-grad-compression=None - charts/episodic_return","1765346213-grad-compression=None - charts/episodic_return__MIN","1765346213-grad-compression=None - charts/episodic_return__MAX","1765346213-grad-compression=None - _step","1765346213-grad-compression=None - _step__MIN","1765346213-grad-compression=None - _step__MAX","1763876097-gradient-stats - charts/episodic_return","1763876097-gradient-stats - charts/episodic_return__MIN","1763876097-gradient-stats - charts/episodic_return__MAX","1763876097-gradient-stats - _step","1763876097-gradient-stats - _step__MIN","1763876097-gradient-stats - _step__MAX"
"42950","-73.21429","-73.21429","-73.21429","123","123","123","-73.21429","-73.21429","-73.21429","123","123","123","-73.21429","-73.21429","-73.21429","123","123","123","","","","","",""
"43042","","","","","","","","","","","","","","","","","","","-72.50859","-72.50859","-72.50859","122","122","122"
"43951","-8.474576","-8.474576","-8.474576","124","124","124","-22.033897","-22.033897","-22.033897","124","124","124","-28.813559","-28.813559","-28.813559","124","124","124","","","","","",""
"44043","","","","","","","","","","","","","","","","","","","-74.02597","-74.02597","-74.02597","123","123","123"
"44952","-6.8965516","-6.8965516","-6.8965516","125","125","125","-24.137932","-24.137932","-24.137932","125","125","125","-10.344828","-10.344828","-10.344828","125","125","125","","","","","",""
"45044","","","","","","","","","","","","","","","","","","","-73.154366","-73.154366","-73.154366","124","124","124"
"45953","-71.42857","-71.42857","-71.42857","133","133","133","-71.42857","-71.42857","-71.42857","133","133","133","-60.714287","-60.714287","-60.714287","133","133","133","","","","","",""
"46045","","","","","","","","","","","","","","","","","","","-75.90362","-75.90362","-75.90362","133","133","133"
"46954","-44.02985","-44.02985","-44.02985","134","134","134","-51.49254","-51.49254","-51.49254","134","134","134","-2.9850745","-2.9850745","-2.9850745","134","134","134","","","","","",""
"47046","","","","","","","","","","","","","","","","","","","-76.190475","-76.190475","-76.190475","134","134","134"
"47955","-25.696594","-25.696594","-25.696594","135","135","135","-62.848297","-62.848297","-62.848297","135","135","135","-31.888544","-31.888544","-31.888544","135","135","135","","","","","",""
"48047","","","","","","","","","","","","","","","","","","","-66.10169","-66.10169","-66.10169","135","135","135"
"48956","-55.83596","-55.83596","-55.83596","136","136","136","-62.14511","-62.14511","-62.14511","136","136","136","-74.763405","-74.763405","-74.763405","136","136","136","","","","","",""
"49048","","","","","","","","","","","","","","","","","","","-72.413795","-72.413795","-72.413795","136","136","136"
"49957","-22.077923","-22.077923","-22.077923","144","144","144","-31.818182","-31.818182","-31.818182","144","144","144","-35.064934","-35.064934","-35.064934","144","144","144","","","","","",""
"50049","","","","","","","","","","","","","","","","","","","-78.57143","-78.57143","-78.57143","145","145","145"
"50958","-5.7377048","-5.7377048","-5.7377048","145","145","145","-34.42623","-34.42623","-34.42623","145","145","145","-38.52459","-38.52459","-38.52459","145","145","145","","","","","",""
"51050","","","","","","","","","","","","","","","","","","","-70.149254","-70.149254","-70.149254","146","146","146"
