global_step,1776624639-grad-compression=none - charts/episodic_return,1776628684-grad-compression=accumulate-grads - charts/episodic_return,1776636519-grad-compression=accumulate-grads - charts/episodic_return
250107,581.2749,,
250157,,252.40964,
250330,,,290.16394
251108,693.4426,,
251158,,746.4164,
251331,,,649.19617
252109,803.537,,
252159,,820.3187,
252332,,,684.5118
253110,519.5286,,
253160,,529.5082,
253333,,,446.62378
254111,57.55627,,
254161,,523.7942,
254334,,,577.7108
254482,,22.982155,
255112,653.012,,
255335,,,766.8942
255483,,240.83601,
256113,862.45734,,
256336,,,672.2772
256484,,204.21687,
257114,451.15512,,
257337,,,756.16437
257485,,401.70648,
258115,622.6027,,
258338,,,539.2405
258486,,12.211221,
259116,713.29114,,
259339,,,345.61404
259487,,471.91782,
260117,675.4386,,
260340,,,650.86505
260488,,232.27849,
261118,744.29065,,
261341,,,590.4762
261489,,205.26315,
262119,508.84354,,
262342,,,821.76874
262490,,117.99308,
263068,905.2,,
263343,,,434.65347
263491,,468.02722,
264069,758.0858,,
264344,,,384.21054
264492,,325.17007,
265070,429.82455,,
265345,,,211.11111
265493,,233.33333,
266071,322.22223,,
266346,,,607.9038
266494,,408.77194,
267072,872.5086,,
267347,,,791.8033
267495,,49.20635,
268073,896.7213,,
268348,,,818.30066
268496,,429.20963,
268789,,,31.357733
269074,612.4183,,
269497,,473.77048,
269790,,,289.38052
270075,267.6976,,
270498,,494.77124,
270791,,,874.4526
271076,543.0679,,
271499,,319.244,
271792,,,34.680134
272077,889.0511,,
272500,,206.78467,
272793,,,765.1316
273078,489.2256,,
273501,,892.70074,
273794,,,871.9298
274079,525,,
274502,,172.72728,
274795,,,564.38354
275080,559.6491,,
275503,,350.6579,
275796,,,602.4221
276081,560.9589,,
276504,,264.9123,
276797,,,260.54422
277082,675.0865,,
277505,,550.68494,
277798,,,266.24203
278083,760.5442,,
278506,,796.1938,
278799,,,820.1278
279084,466.87897,,
279507,,36.05442,
279800,,,762.27545
280085,625.2396,,
280508,,237.57962,
280801,,,502.00668
281086,325.1497,,
281509,,347.28433,
281721,,,908.1
282087,716.0535,,
282510,,423.9521,
282722,,,760.80585
283088,820,,
283511,,542.14044,
283723,,,739.34424
284089,584.9817,,
284512,,808,
284724,,,382.03592
285090,322.9508,,
285410,20.894611,,
285513,,592.3077,
285725,,,798.8764
285806,,34.834427,
286339,,17.558683,
286411,716.47943,,
286726,,,866.2921
287340,,57.30337,
287412,502.99625,,
287727,,,519.86304
288341,,851.31085,
288413,584.9315,,
288728,,,661.7555
289342,,564.38354,
289414,580.2508,,
289729,,,853.02014
290341,907.4,,
290343,,191.53606,
290730,,,826.9231
291342,850,,
291344,,232.21477,
291731,,,656.09753
292343,534.14636,,
292345,,430.76923,
292732,,,888.9706
293344,815.44116,,
293346,,384.7561,
293733,,,244.9367
294345,301.89874,,
294347,,797.05884,
294734,,,604.8611
295346,400,,
295348,,146.83545,
295735,,,302.73038
296347,527.9863,,
296349,,403.47223,
296736,,,473.4767
297348,434.05017,,
297350,,248.12286,
297737,,,268.9655
298349,806.89655,,
298351,,462.72403,
298738,,,632.52277
299350,523.1003,,
299352,,48.275864,
299739,,,583.5017
300351,772.0539,,
300353,,51.975685,
300740,,,361.53845
301352,502.56412,,
