"Step","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1779039473-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MIN","1778997949-grad-compression=accumulate-grads - charts/calculated_data_transfer_total_mb__MAX","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MIN","1778988573-grad-compression=none - charts/calculated_data_transfer_total_mb__MAX"
"1123","14423.44","14423.44","14423.44","14423.44","14423.44","14423.44","14423.44","14423.44","14423.44"
"1134","14567.675","14567.675","14567.675","14567.675","14567.675","14567.675","14567.675","14567.675","14567.675"
"1145","14711.909","14711.909","14711.909","14711.909","14711.909","14711.909","14711.909","14711.909","14711.909"
"1156","14856.144","14856.144","14856.144","14856.144","14856.144","14856.144","14856.144","14856.144","14856.144"
"1167","15000.378","15000.378","15000.378","15000.378","15000.378","15000.378","15000.378","15000.378","15000.378"
"1186","15144.612","15144.612","15144.612","15144.612","15144.612","15144.612","15144.612","15144.612","15144.612"
"1197","15288.847","15288.847","15288.847","15288.847","15288.847","15288.847","15288.847","15288.847","15288.847"
"1208","15433.081","15433.081","15433.081","15433.081","15433.081","15433.081","15433.081","15433.081","15433.081"
"1219","15577.315","15577.315","15577.315","15577.315","15577.315","15577.315","15577.315","15577.315","15577.315"
"1230","15721.55","15721.55","15721.55","15721.55","15721.55","15721.55","15721.55","15721.55","15721.55"
"1241","15865.784","15865.784","15865.784","15865.784","15865.784","15865.784","15865.784","15865.784","15865.784"
"1252","16010.019","16010.019","16010.019","16010.019","16010.019","16010.019","16010.019","16010.019","16010.019"
"1263","16154.254","16154.254","16154.254","16154.254","16154.254","16154.254","16154.254","16154.254","16154.254"
"1274","16298.488","16298.488","16298.488","16298.488","16298.488","16298.488","16298.488","16298.488","16298.488"
"1285","16442.723","16442.723","16442.723","16442.723","16442.723","16442.723","16442.723","16442.723","16442.723"
"1296","16586.957","16586.957","16586.957","16586.957","16586.957","16586.957","16586.957","16586.957","16586.957"
"1307","16731.191","16731.191","16731.191","16731.191","16731.191","16731.191","16731.191","16731.191","16731.191"
"1318","16875.426","16875.426","16875.426","16875.426","16875.426","16875.426","16875.426","16875.426","16875.426"
"1329","17019.66","17019.66","17019.66","17019.66","17019.66","17019.66","17019.66","17019.66","17019.66"
"1340","17163.895","17163.895","17163.895","17163.895","17163.895","17163.895","17163.895","17163.895","17163.895"
"1351","17308.129","17308.129","17308.129","17308.129","17308.129","17308.129","17308.129","17308.129","17308.129"
"1362","17452.363","17452.363","17452.363","17452.363","17452.363","17452.363","17452.363","17452.363","17452.363"
"1373","17596.598","17596.598","17596.598","17596.598","17596.598","17596.598","17596.598","17596.598","17596.598"
"1384","17740.832","17740.832","17740.832","17740.832","17740.832","17740.832","17740.832","17740.832","17740.832"
"1395","17885.066","17885.066","17885.066","17885.066","17885.066","17885.066","17885.066","17885.066","17885.066"
"1406","18029.3","18029.3","18029.3","18029.3","18029.3","18029.3","18029.3","18029.3","18029.3"
"1417","18173.535","18173.535","18173.535","18173.535","18173.535","18173.535","18173.535","18173.535","18173.535"
"1428","18317.77","18317.77","18317.77","18317.77","18317.77","18317.77","18317.77","18317.77","18317.77"
"1439","18462.004","18462.004","18462.004","18462.004","18462.004","18462.004","18462.004","18462.004","18462.004"
"1450","18606.238","18606.238","18606.238","18606.238","18606.238","18606.238","18606.238","18606.238","18606.238"
"1461","18750.473","18750.473","18750.473","18750.473","18750.473","18750.473","18750.473","18750.473","18750.473"
"1480","18894.707","18894.707","18894.707","18894.707","18894.707","18894.707","18894.707","18894.707","18894.707"
"1491","19038.941","19038.941","19038.941","19038.941","19038.941","19038.941","19038.941","19038.941","19038.941"
"1502","19183.176","19183.176","19183.176","19183.176","19183.176","19183.176","19183.176","19183.176","19183.176"
"1513","19327.41","19327.41","19327.41","19327.41","19327.41","19327.41","19327.41","19327.41","19327.41"
"1524","19471.645","19471.645","19471.645","19471.645","19471.645","19471.645","19471.645","19471.645","19471.645"
"1535","19615.879","19615.879","19615.879","19615.879","19615.879","19615.879","19615.879","19615.879","19615.879"
"1546","19760.113","19760.113","19760.113","19760.113","19760.113","19760.113","19760.113","19760.113","19760.113"
"1557","19904.348","19904.348","19904.348","19904.348","19904.348","19904.348","19904.348","19904.348","19904.348"
"1568","20048.582","20048.582","20048.582","20048.582","20048.582","20048.582","20048.582","20048.582","20048.582"
"1579","20192.816","20192.816","20192.816","20192.816","20192.816","20192.816","20192.816","20192.816","20192.816"
"1590","20337.05","20337.05","20337.05","20337.05","20337.05","20337.05","20337.05","20337.05","20337.05"
"1601","20481.285","20481.285","20481.285","20481.285","20481.285","20481.285","20481.285","20481.285","20481.285"
"1612","20625.52","20625.52","20625.52","20625.52","20625.52","20625.52","20625.52","20625.52","20625.52"
"1623","20769.754","20769.754","20769.754","20769.754","20769.754","20769.754","20769.754","20769.754","20769.754"
"1634","20913.988","20913.988","20913.988","20913.988","20913.988","20913.988","20913.988","20913.988","20913.988"
"1645","21058.223","21058.223","21058.223","21058.223","21058.223","21058.223","21058.223","21058.223","21058.223"
"1656","21202.457","21202.457","21202.457","21202.457","21202.457","21202.457","21202.457","21202.457","21202.457"
"1667","21346.691","21346.691","21346.691","21346.691","21346.691","21346.691","21346.691","21346.691","21346.691"
"1678","21490.926","21490.926","21490.926","21490.926","21490.926","21490.926","21490.926","21490.926","21490.926"
"1689","21635.16","21635.16","21635.16","21635.16","21635.16","21635.16","21635.16","21635.16","21635.16"
"1700","21779.395","21779.395","21779.395","21779.395","21779.395","21779.395","21779.395","21779.395","21779.395"
"1711","21923.629","21923.629","21923.629","21923.629","21923.629","21923.629","21923.629","21923.629","21923.629"
"1722","22067.863","22067.863","22067.863","22067.863","22067.863","22067.863","22067.863","22067.863","22067.863"
"1733","22212.098","22212.098","22212.098","22212.098","22212.098","22212.098","22212.098","22212.098","22212.098"
"1744","22356.332","22356.332","22356.332","22356.332","22356.332","22356.332","22356.332","22356.332","22356.332"
"1755","22500.566","22500.566","22500.566","22500.566","22500.566","22500.566","22500.566","22500.566","22500.566"
"1774","22644.8","22644.8","22644.8","22644.8","22644.8","22644.8","22644.8","22644.8","22644.8"
"1785","22789.035","22789.035","22789.035","22789.035","22789.035","22789.035","22789.035","22789.035","22789.035"
"1796","22933.27","22933.27","22933.27","22933.27","22933.27","22933.27","22933.27","22933.27","22933.27"
"1807","23077.504","23077.504","23077.504","23077.504","23077.504","23077.504","23077.504","23077.504","23077.504"
"1818","23221.74","23221.74","23221.74","23221.74","23221.74","23221.74","23221.74","23221.74","23221.74"
"1829","23365.975","23365.975","23365.975","23365.975","23365.975","23365.975","23365.975","23365.975","23365.975"
"1840","23510.209","23510.209","23510.209","23510.209","23510.209","23510.209","23510.209","23510.209","23510.209"
"1851","23654.443","23654.443","23654.443","23654.443","23654.443","23654.443","23654.443","23654.443","23654.443"
"1862","23798.678","23798.678","23798.678","23798.678","23798.678","23798.678","23798.678","23798.678","23798.678"
"1873","23942.912","23942.912","23942.912","23942.912","23942.912","23942.912","23942.912","23942.912","23942.912"
"1884","24087.146","24087.146","24087.146","24087.146","24087.146","24087.146","24087.146","24087.146","24087.146"
"1895","24231.38","24231.38","24231.38","24231.38","24231.38","24231.38","24231.38","24231.38","24231.38"
"1906","24375.615","24375.615","24375.615","24375.615","24375.615","24375.615","24375.615","24375.615","24375.615"
"1917","24519.85","24519.85","24519.85","24519.85","24519.85","24519.85","24519.85","24519.85","24519.85"
"1928","24664.084","24664.084","24664.084","24664.084","24664.084","24664.084","24664.084","24664.084","24664.084"
"1939","24808.318","24808.318","24808.318","24808.318","24808.318","24808.318","24808.318","24808.318","24808.318"
"1950","24952.553","24952.553","24952.553","24952.553","24952.553","24952.553","24952.553","24952.553","24952.553"
"1961","25096.787","25096.787","25096.787","25096.787","25096.787","25096.787","25096.787","25096.787","25096.787"
"1972","25241.021","25241.021","25241.021","25241.021","25241.021","25241.021","25241.021","25241.021","25241.021"
"1983","25385.256","25385.256","25385.256","25385.256","25385.256","25385.256","25385.256","25385.256","25385.256"
"1994","25529.49","25529.49","25529.49","25529.49","25529.49","25529.49","25529.49","25529.49","25529.49"
"2005","25673.725","25673.725","25673.725","25673.725","25673.725","25673.725","25673.725","25673.725","25673.725"
"2016","25817.959","25817.959","25817.959","25817.959","25817.959","25817.959","25817.959","25817.959","25817.959"
"2027","25962.193","25962.193","25962.193","25962.193","25962.193","25962.193","25962.193","25962.193","25962.193"
"2038","26106.428","26106.428","26106.428","26106.428","26106.428","26106.428","26106.428","26106.428","26106.428"
"2049","26250.662","26250.662","26250.662","26250.662","26250.662","26250.662","26250.662","26250.662","26250.662"
"2068","26394.896","26394.896","26394.896","26394.896","26394.896","26394.896","26394.896","26394.896","26394.896"
"2079","26539.13","26539.13","26539.13","26539.13","26539.13","26539.13","26539.13","26539.13","26539.13"
"2090","26683.365","26683.365","26683.365","26683.365","26683.365","26683.365","26683.365","26683.365","26683.365"
"2101","26827.6","26827.6","26827.6","26827.6","26827.6","26827.6","26827.6","26827.6","26827.6"
"2112","26971.834","26971.834","26971.834","26971.834","26971.834","26971.834","26971.834","26971.834","26971.834"
"2123","27116.068","27116.068","27116.068","27116.068","27116.068","27116.068","27116.068","27116.068","27116.068"
"2134","27260.303","27260.303","27260.303","27260.303","27260.303","27260.303","27260.303","27260.303","27260.303"
"2145","27404.537","27404.537","27404.537","27404.537","27404.537","27404.537","27404.537","27404.537","27404.537"
"2156","27548.771","27548.771","27548.771","27548.771","27548.771","27548.771","27548.771","27548.771","27548.771"
"2167","27693.006","27693.006","27693.006","27693.006","27693.006","27693.006","27693.006","27693.006","27693.006"
"2178","27837.24","27837.24","27837.24","27837.24","27837.24","27837.24","27837.24","27837.24","27837.24"
"2189","27981.475","27981.475","27981.475","27981.475","27981.475","27981.475","27981.475","27981.475","27981.475"
"2200","28125.709","28125.709","28125.709","28125.709","28125.709","28125.709","28125.709","28125.709","28125.709"
"2211","28269.943","28269.943","28269.943","28269.943","28269.943","28269.943","28269.943","28269.943","28269.943"
